label,sentence;
culture,творческ молод программ постановк молод  программ фестивал концерт балет концерт балет парт театр театр
culture,соврем искус  культур    соврем искус президент соврем искус
culture,  фильм конкурс фестивал президент прем  команд    режиссер программ фестивал счет программ золот конкурс президент команд президент коммерческ фестивал программ российск золот картин конкурс программ фильм программ  золот режиссер    российск картин российск конкурс русск конкурс 
culture,фильм  фильм фильм интерн фильм    картин перевозк фильм  фильм  фильм российск
culture,  фильм фильм район город    месяц картин  фильм картин картин номинац
culture,фестивал современн  музыкальн театр балет театр постановк балет  артист  артист
culture,  морск современн      представлен    увидет морск       
culture, выставк музыкальн  выставк представлен фонд истори музыкальн город русск современн творческ культур  выставк музыкальн истори увидет русск
culture,соврем искус культур российск  конкурс соврем искус  инновац  церемон конкурс соврем искус инновац соврем искус прем произведен  церемон конкурс инновац  конкурс инновац  номинац произведен искус выставк  номинац выставк  номинац искус  номинац соврем искус выставк  номинац    творческ соврем  фонд соврем искус  конкурс инновац  фонд искус  фонд      церемон город русск современн церемон конкурс инновац истори современн российск  конкурс соврем искус инновац соврем искус соврем искус организац соврем организац    выставк конкурс инновац соврем искус
culture,спектакл увидет российск постановк актер режиссер  театр произведен  спектакл актер  молод фестивал спектакл  спектакл российск произведен российск
culture,концерт украин  концерт концерт  российск концерт украин переворот  команд донецк концерт  подчеркнул  российск  концерт донецк газ
culture,церемон прем соврем выставк прем музыкальн  прем    произведен искус
culture, прем фильм фильм тур картин фильм программ фильм молод фестивал российск  церемон фестивал
culture,фильм  режиссер  пользовател
culture,       фильм полиц  сезон сезон  актер
culture,театр фестивал балет  творческ балет постановк театр театр  фестивал увидет балет  фестивал творческ молод  фестивал балет
culture,концерт     концерт продаж  продаж концерт увидет концерт концерт концерт  концерт продаж  концерт тур
culture,театр фестивал золот  истори соврем театр  выставк театр представлен театр российск режиссер актер художник  золот музе фестивал искус  артист российск выставк фестивал
culture,соврем искус культур программ культур музыкальн концерт артист концерт русск  молод искус искус кандидат прем конкурс российск
culture,концерт программ    программ  музыкальн представлен музыкальн
culture,побед город конкурс фестивал побед культур творческ истори фестивал культур город фестивал город концерт город музыкальн традиц фестивал  
culture,актер выставк   выставк представлен произведен русск выставк
culture,представлен  спектакл постановк театр  представлен культур
culture,    фильм российск фильм    фильм регион современн  украинск украинск    картин фильм фильм  российск фильм  фильм фильм увидет прем российск картин    актер фильм картин  фильм фильм фильм картин    месяц российск постановк картин  фильм фильм фильм  фильм картин
culture,концерт    концерт сотрудник  концерт интерн  программ  концерт  музыкальн сотрудник организац концерт
culture,музе конкурс произведен соврем     конкурс фонд искус традиц культур произведен фонд конкурс художник традиц современн современн искус  конкурс традиц искус конкурс традиц искус  выставк представлен произведен искус выставк город увидет произведен искус
culture,выставк выставк традиц художник выставк  истори искус представлен произведен искус художник художник молод традиц русск
culture,выставк меркурьев пушкинск артист русск театр меркурьев театр актер фильм театр театр меркурьев меркурьев искус театр творческ театр театр театр пушкинск театр театр меркурьев искус меркурьев представлен меркурьев меркурьев меркурьев меркурьев пушкинск театр
culture,фильм программ фестивал польск фильм режиссер польск режиссер фестивал представлен картин молод режиссер фильм молод польск польск фильм фильм режиссер фестивал польск истори польск фестивал польск
culture,фильм   фильм российск прем номинац фильм картин  фильм номинац прем  фильм фильм  картин фильм церемон прем фильм прем золот режиссер  церемон прем театр министр культур культур президент прем организац  фильм прем номинац фильм картин  фильм кин фильм номинац художник
culture,музыкальн  театр спектакл музыкальн постановк
culture,  актер актер    сезон произошл финал    прем
culture,программ произведен соврем концерт  программ представлен актер русск программ
culture,концерт     концерт  компан компан концерт  концерт концерт    президент
culture,программ концерт балет артист  концерт 2
culture,выставк выставк  увидет представлен  картин выставк
culture,    музыкальн произведен    произведен президент
culture,русск культур русск художник  выставк творческ выставк представлен увидет художник  русск культур представлен выставк золот пушкинск увидет  золот пушкинск художник музе программ культур программ пушкинск культур культур  русск культур выставк художник выставк
culture,президент российск театр театр творческ артист творческ
culture,     актер  актер  сезон фильм прем  фильм
science,хромосом организм  хромосом организм генетическ хромосом генетическ днк хромосом хромосом  днк днк учен днк организм хромосом хромосом программ газ
science,организм учен  учен  
science,учен учен организм президент
science,учен аппарат    
science,  учен    учен  команд учен обнаружил  
science,спутник программ  программ запуск космическ спутник  спутник запуск космическ
science,днк  мод мод  учен  учен мод  учен мод учен мод днк учен    обнаружил днк учен
science,     учен технолог      учен
science,спутник аппарат спутник космическ аппарат учен спутник космическ обнаружил космическ аппарат частиц спутник район
science,технолог     технолог российск  учен сотрудник российск представлен сотрудник  молод молод
science,     учен  учен  учен  организм организм
science,       учен  организм  устрой учен устрой  электронн устрой
science,     машин устрой  устрой устрой  учен устрой  устрой электронн устрой
science,  ракет  встреч космическ      ракет орбит российск спутник  ракет
science,фильм картин картин космическ картин дом картин картин картин запуск спутник космическ картин мкс мкс картин картин мкс
science,     счет    частиц  
science,учен  учен  учен
science,учен  учен организм  учен    учен
science,счет     технолог район регион
science,российск космическ  программ  технолог технолог технолог
science,  произошл 2 атмосфер
science,мкс космическ ракет  
science,  активност    район активност
science,       представлен учен    жил
science,компан российск ракет запуск ракет орбит российск ракет запуск компан церемон запуск ракет спутник спутник орбит российск морск орбит аппарат
science,спутник  дальн увидет  
science,учен  мужчин мужчин  
science,        
science,     картин учен  учен картин современн  единиц картин  учен
science,  учен  учен учен
science,украин  учен генетическ соврем днк район учен регион украин генетическ днк учен соврем украин мод сравнени современн современн счет   учен генетическ  сравнени современн
science,программ    программ     программ экономическ программ экономическ программ регион  программ  соврем      компан инновац программ  город программ  программ  программ программ разработчик  программ
science, ресурс      современн  учен  
science,прем российск     прем сотрудник    прем прем прем  прем прем
science,учен  учен
science,робот    робот счет устрой  робот электронн устрой робот счет робот устройств электронн  робот    устрой робот робот робот робот
science,полёт  полёт  полёт полёт ракет  пользовател ракет космическ орбит  мод полёт атмосфер ракет запуск ракет  полёт ракет ракет  ракет орбит полёт
science,мкс космическ  мкс  
science,морск  морск  учен морск учен морск морск
science,    сравнени  
science,  космическ    технолог  учен орбит орбит
science,российск учен прибор  прибор организм  учен прибор
science,учен космическ российск сотрудник атмосфер частиц  атмосфер сезон учен атмосфер частиц частиц атмосфер частиц частиц частиц частиц частиц учен космическ частиц атмосфер атмосфер частиц
